concurso,data,valor_premio
2943,2025-11-25,14986158.02
2942,2025-11-22,10131579.88
2941,2025-11-18,3712693.81
2940,2025-11-14,99085707.38
2939,2025-11-11,84435557.25
2938,2025-11-08,55874476.0
2937,2025-11-06,47065056.14
2936,2025-11-04,40262461.22
2935,2025-11-01,33857453.6
2934,2025-10-30,27158891.52
2933,2025-10-28,3139408.9
2922,2025-10-02,7084833.28
2921,2025-09-30,3188011.81
2920,2025-09-27,80688743.7
2919,2025-09-25,70354628.91
2918,2025-09-23,45998578.26
2917,2025-09-20,39422025.91
2916,2025-09-18,32159296.11
2915,2025-09-16,26567098.65
2914,2025-09-13,21473522.01
2913,2025-09-11,53944790.09
2912,2025-09-09,46722614.2
2911,2025-09-06,39598410.7
2910,2025-09-04,32328651.54
2909,2025-09-02,26789809.43
2908,2025-08-30,8377374.41
