concurso,data,valor_premio
2943,2025-11-25,1000.02
2942,2025-11-22,1013.88
2941,2025-11-18,3712.81
2940,2025-11-14,9908.38
2939,2025-11-11,8443.25
2938,2025-11-08,5587.0
2937,2025-11-06,4706.14
2936,2025-11-04,4026.22
2935,2025-11-01,3385.6
2934,2025-10-30,2715.52
2933,2025-10-28,3139.9
2922,2025-10-02,7084.28
2921,2025-09-30,3188.81
2920,2025-09-27,8068.7
2919,2025-09-25,7035.91
2918,2025-09-23,459.26
2917,2025-09-20,3942.91
2916,2025-09-18,321.11
2915,2025-09-16,265.65
2914,2025-09-13,214.01
2913,2025-09-11,539.09
2912,2025-09-09,467.2
2911,2025-09-06,3959.7
2910,2025-09-04,323.54
2909,2025-09-02,2678.43
2908,2025-08-30,837.41
